Record number,Number of inquiries in the past three months,Age of the most recent inquiry,Number of derogatory public records,Age of the most recent derogatory public record,Bankruptcy on file,Subject’s age,Subject’s average income in last 5 years,Credit Score,Education,Number of bank accounts opened in last 5 years,Number of bank accounts closed in last 5 years,Marital_status,Gendre,Head of household,Housing  type
5153,4,15,1,1,TRUE,48,175,670,None,5,1,Married,Female,FALSE,Owner
5154,5,14,1,1,FALSE,40,49,660,MS,2,1,Married,Male,FALSE,Owner
5155,9,3,5,1,FALSE,63,125,760,MS,4,0,Divorced,Female,TRUE,Rental
5156,1,8,1,3,FALSE,40,310,500,None,2,0,Separated,Female,TRUE,Owner
5157,8,8,1,1,FALSE,65,125,810,None,2,2,Single,Female,FALSE,Owner
5158,5,5,11,6,TRUE,67,250,760,MS,6,2,Single,Female,TRUE,Owner
5159,7,12,1,4,TRUE,22,75,NaN,None,5,1,Married,Female,TRUE,Owner
5160,3,7,0,1,FALSE,57,175,500,PhD,4,2,Single,Male,FALSE,Rental
5161,2,7,1,4,TRUE,60,75,300,None,2,2,Divorced,Female,FALSE,Rental
5162,4,6,0,4,TRUE,30,175,620,PhD,2,1,Separated,Female,FALSE,Rental
5163,2,13,11,6,TRUE,48,175,500,BS,6,0,Widowed,Female,FALSE,Owner
5164,8,3,0,1,FALSE,70,125,800,None,4,3,Divorced,Male,FALSE,Owner
5165,6,5,5,4,FALSE,37,250,600,HS,4,1,Single,Female,FALSE,Rental
5166,4,14,5,3,FALSE,37,125,730,PhD,5,3,Married,Male,FALSE,Rental
5167,8,5,5,3,FALSE,65,310,300,MS,6,2,Widowed,Female,TRUE,Owner
5168,3,6,5,1,FALSE,63,310,730,MS,2,0,Separated,Female,FALSE,Owner
5169,0,9,1,6,FALSE,35,125,810,PhD,1,1,Widowed,Male,FALSE,Owner
5170,5,11,0,1,FALSE,30,175,800,HS,1,0,Widowed,Female,TRUE,Rental
5171,8,9,11,3,FALSE,56,75,800,MS,5,0,Divorced,Male,FALSE,Owner
5172,8,6,0,4,FALSE,20,310,730,BS,5,0,Married,Male,TRUE,Owner
5173,1,4,11,4,TRUE,63,75,850,None,6,1,Separated,Male,FALSE,Rental
5174,0,14,1,3,TRUE,48,49,850,BS,1,3,Divorced,Male,FALSE,Rental
5175,2,2,1,1,TRUE,44,125,500,BS,6,1,Separated,Female,TRUE,Owner
5176,5,1,2,3,TRUE,22,75,800,None,4,0,Single,Male,FALSE,Rental
5177,0,6,5,6,FALSE,56,310,670,PhD,6,3,Single,Female,TRUE,Rental
5178,4,2,5,6,FALSE,67,175,760,HS,5,1,Separated,Male,TRUE,Rental
5179,5,3,2,4,FALSE,37,49,300,BS,0,1,Widowed,Male,FALSE,Owner
5180,0,15,2,1,FALSE,63,49,NaN,MS,6,3,Single,Female,TRUE,Owner
5181,8,10,0,1,FALSE,20,175,810,MS,4,1,Single,Male,FALSE,Owner
5182,0,10,1,1,TRUE,57,250,600,HS,1,1,Married,Male,TRUE,Owner
5183,4,9,0,6,FALSE,65,49,850,None,1,1,Married,Male,TRUE,Rental
5184,8,4,2,3,TRUE,48,75,600,BS,2,0,Divorced,Female,TRUE,Rental
5185,7,11,1,6,FALSE,35,125,660,BS,4,1,Widowed,Male,FALSE,Owner
5186,4,6,0,6,TRUE,37,250,600,None,0,0,Divorced,Male,FALSE,Owner
5187,8,14,2,6,TRUE,30,75,NaN,BS,1,3,Divorced,Female,FALSE,Owner
5188,4,11,5,3,TRUE,70,75,660,HS,4,1,Separated,Female,FALSE,Rental
5189,8,3,0,6,FALSE,35,175,NaN,MS,5,3,Separated,Male,FALSE,Owner
5190,1,10,11,1,FALSE,66,250,800,None,3,2,Married,Female,FALSE,Rental
5191,9,3,1,6,FALSE,35,250,760,BS,2,3,Separated,Female,FALSE,Owner
5192,5,13,0,3,TRUE,37,125,730,None,3,2,Divorced,Male,TRUE,Rental
5193,5,4,2,4,TRUE,44,310,NaN,MS,0,2,Single,Female,TRUE,Owner
5194,7,1,1,6,TRUE,65,175,600,BS,6,2,Divorced,Female,FALSE,Owner
5195,3,5,11,6,FALSE,70,250,670,None,6,1,Single,Male,FALSE,Owner
5196,3,8,1,4,FALSE,20,75,670,PhD,1,1,Married,Male,TRUE,Owner
5197,2,9,1,6,TRUE,NaN,175,800,PhD,4,1,Divorced,Male,FALSE,Rental
5198,6,7,1,4,FALSE,30,175,500,PhD,1,3,Separated,Male,FALSE,Rental
5199,1,11,0,4,FALSE,56,49,300,HS,2,2,Separated,Female,FALSE,Owner
5200,9,14,0,6,TRUE,44,49,730,HS,4,1,Single,Female,FALSE,Rental
5201,2,13,1,6,TRUE,40,49,300,None,0,2,Divorced,Female,FALSE,Rental
5202,5,7,0,3,FALSE,44,49,NaN,BS,4,2,Separated,Female,TRUE,Rental
5203,8,5,1,1,TRUE,63,310,500,HS,0,1,Single,Female,FALSE,Rental
5204,10,10,1,1,FALSE,66,75,730,PhD,5,2,Single,Male,FALSE,Rental
5205,1,12,5,3,FALSE,66,75,NaN,None,0,3,Separated,Male,TRUE,Rental
5206,0,2,11,4,FALSE,66,125,760,HS,4,0,Divorced,Female,TRUE,Owner
5207,0,5,1,4,TRUE,44,250,670,HS,2,2,Widowed,Female,FALSE,Rental
5208,10,12,11,6,TRUE,63,175,500,BS,0,2,Single,Male,FALSE,Owner
5209,8,1,1,4,TRUE,48,310,500,MS,6,2,Married,Male,FALSE,Owner
5210,3,14,0,4,TRUE,40,125,NaN,BS,5,2,Divorced,Male,FALSE,Owner
5211,9,8,2,3,TRUE,30,250,670,PhD,6,3,Single,Male,TRUE,Owner
5212,8,2,0,3,FALSE,22,310,500,None,5,2,Married,Female,FALSE,Rental
5213,8,2,2,4,TRUE,50,75,670,None,6,2,Single,Female,FALSE,Rental
5214,5,8,0,1,TRUE,65,49,600,None,5,0,Separated,Male,TRUE,Rental
5215,9,7,2,3,TRUE,56,310,670,MS,6,3,Married,Male,FALSE,Owner
5216,6,6,2,6,FALSE,30,125,760,MS,6,3,Separated,Male,FALSE,Owner
5217,10,10,0,4,TRUE,70,250,730,BS,2,2,Married,Male,FALSE,Owner
5218,3,4,5,3,TRUE,NaN,175,760,PhD,0,0,Separated,Female,FALSE,Owner
5219,1,1,5,1,TRUE,30,125,670,MS,3,2,Divorced,Male,FALSE,Rental
5220,6,11,5,1,FALSE,77,125,800,MS,4,0,Single,Male,TRUE,Owner
5221,10,13,0,4,TRUE,67,250,300,MS,4,0,Divorced,Female,TRUE,Rental
5222,5,8,0,3,TRUE,35,250,760,BS,2,3,Separated,Male,TRUE,Owner
5223,6,12,5,1,TRUE,77,310,730,None,0,3,Divorced,Female,TRUE,Owner
5224,10,7,0,1,FALSE,20,175,NaN,MS,5,3,Married,Male,TRUE,Rental
5225,6,2,0,6,TRUE,65,250,850,HS,4,0,Divorced,Male,TRUE,Rental
5226,1,5,0,1,FALSE,37,75,760,PhD,5,0,Separated,Female,FALSE,Rental
5227,1,3,2,4,TRUE,37,250,670,BS,5,0,Divorced,Male,FALSE,Rental
5228,1,15,0,4,FALSE,70,310,NaN,None,2,2,Single,Female,TRUE,Owner
5229,2,15,11,4,TRUE,70,49,660,BS,6,1,Married,Female,FALSE,Rental
5230,1,12,0,6,FALSE,30,310,600,MS,1,2,Separated,Male,FALSE,Owner
5231,8,3,2,3,FALSE,66,175,850,None,5,1,Divorced,Female,TRUE,Owner
5232,6,11,11,3,TRUE,66,125,760,PhD,3,2,Single,Male,FALSE,Owner
5233,2,15,11,1,TRUE,77,125,810,None,4,3,Married,Male,FALSE,Rental
5234,8,7,0,4,TRUE,77,75,620,None,1,3,Married,Male,TRUE,Owner
5235,10,14,0,3,TRUE,65,125,NaN,None,5,2,Single,Female,FALSE,Owner
5236,6,12,11,1,TRUE,77,125,500,BS,0,2,Separated,Male,FALSE,Owner
5237,2,8,5,4,TRUE,48,175,800,PhD,2,2,Separated,Female,TRUE,Rental
5238,1,12,11,3,TRUE,30,250,810,None,3,2,Separated,Female,TRUE,Rental
5239,6,13,1,3,FALSE,60,250,760,BS,1,0,Divorced,Female,TRUE,Owner
5240,10,11,2,6,TRUE,35,49,620,None,5,0,Separated,Female,TRUE,Rental
5241,2,5,11,4,FALSE,65,125,620,MS,1,3,Married,Female,TRUE,Rental
5242,8,1,5,1,TRUE,24,310,NaN,MS,0,1,Single,Female,TRUE,Rental
5243,6,8,2,4,TRUE,44,310,660,BS,2,1,Separated,Female,TRUE,Owner
5244,10,10,1,6,TRUE,44,250,660,MS,0,3,Married,Male,FALSE,Owner
5245,5,3,2,4,TRUE,22,250,730,HS,5,0,Single,Female,FALSE,Rental
5246,9,4,5,4,TRUE,40,175,500,MS,3,3,Divorced,Female,TRUE,Owner
5247,3,13,2,1,TRUE,63,250,500,MS,1,3,Divorced,Female,FALSE,Owner
5248,6,3,2,6,TRUE,NaN,250,760,HS,1,2,Separated,Female,TRUE,Rental
5249,4,12,0,3,FALSE,44,49,600,None,3,2,Single,Female,FALSE,Rental
5250,7,13,5,6,FALSE,30,175,660,PhD,0,0,Married,Male,TRUE,Owner
5251,3,14,5,4,FALSE,66,175,730,HS,2,0,Married,Male,FALSE,Owner
5252,7,6,0,1,FALSE,NaN,250,810,PhD,6,1,Widowed,Female,TRUE,Rental
5253,10,5,2,4,FALSE,24,250,810,HS,4,3,Widowed,Female,TRUE,Owner
5254,6,12,1,3,TRUE,57,125,600,MS,3,3,Widowed,Female,TRUE,Owner
5255,2,15,2,3,TRUE,50,125,500,PhD,3,1,Widowed,Male,TRUE,Rental
5256,0,3,11,1,FALSE,50,310,NaN,BS,4,0,Divorced,Female,TRUE,Rental
5257,8,11,1,3,FALSE,60,75,800,MS,4,0,Single,Female,FALSE,Rental
5258,8,1,1,3,TRUE,67,125,NaN,BS,3,0,Widowed,Male,FALSE,Rental
5259,0,6,1,6,TRUE,57,310,760,BS,6,1,Widowed,Male,FALSE,Rental
5260,2,12,11,4,TRUE,60,49,730,BS,2,3,Divorced,Male,TRUE,Owner
5261,4,13,2,6,TRUE,70,310,600,BS,2,2,Widowed,Female,FALSE,Owner
5262,1,15,0,4,TRUE,70,125,800,PhD,5,2,Single,Female,FALSE,Rental
5263,1,10,11,6,TRUE,20,125,850,None,0,3,Widowed,Female,TRUE,Owner
5264,9,15,5,4,FALSE,70,49,600,HS,6,1,Married,Female,TRUE,Rental
5265,10,4,2,1,TRUE,22,175,800,None,0,2,Married,Male,FALSE,Owner
5266,0,7,2,4,FALSE,67,75,850,BS,0,1,Married,Male,FALSE,Rental
5267,8,4,5,4,TRUE,66,175,500,None,1,2,Separated,Female,FALSE,Owner
5268,1,14,2,3,TRUE,63,250,600,MS,1,2,Separated,Female,TRUE,Owner
5269,2,12,0,6,FALSE,66,175,300,BS,4,2,Divorced,Female,FALSE,Rental
5270,8,14,2,1,TRUE,63,49,NaN,MS,3,0,Married,Male,TRUE,Rental
5271,7,4,11,4,TRUE,77,75,760,HS,6,1,Single,Male,TRUE,Owner
5272,10,9,0,6,FALSE,22,125,NaN,MS,0,1,Widowed,Female,FALSE,Rental
5273,1,8,1,3,TRUE,66,49,670,HS,2,0,Single,Male,TRUE,Rental
5274,6,9,1,1,TRUE,63,175,810,HS,3,1,Widowed,Female,TRUE,Owner
5275,10,4,2,1,TRUE,48,250,810,BS,6,3,Married,Female,FALSE,Rental
5276,9,11,2,4,FALSE,22,125,NaN,None,1,1,Widowed,Male,TRUE,Owner
5277,1,12,5,4,FALSE,67,250,800,None,2,3,Separated,Female,FALSE,Owner
5278,3,7,2,1,TRUE,56,250,NaN,HS,4,0,Widowed,Male,TRUE,Rental
5279,5,3,1,4,FALSE,63,49,800,HS,3,2,Married,Male,FALSE,Rental
5280,7,7,2,4,FALSE,56,75,850,PhD,2,0,Separated,Male,FALSE,Rental
5281,5,5,5,6,TRUE,65,125,600,HS,0,2,Separated,Male,FALSE,Rental
5282,4,12,0,1,TRUE,63,250,850,PhD,5,3,Separated,Male,TRUE,Rental
5283,6,5,11,1,FALSE,77,250,670,None,0,3,Divorced,Female,TRUE,Owner
5284,5,8,1,1,FALSE,48,310,760,HS,5,0,Single,Female,FALSE,Owner
5285,4,5,2,6,FALSE,65,310,500,HS,0,1,Married,Female,TRUE,Rental
5286,2,7,5,6,TRUE,50,310,500,HS,1,1,Married,Male,FALSE,Owner
5287,9,5,1,3,FALSE,44,175,NaN,HS,4,0,Divorced,Male,FALSE,Owner
5288,1,5,1,4,FALSE,44,250,850,MS,1,3,Single,Male,FALSE,Owner
5289,0,5,5,3,FALSE,60,75,300,MS,0,0,Single,Female,FALSE,Owner
5290,6,14,0,4,TRUE,50,310,670,HS,5,3,Separated,Male,TRUE,Rental
5291,10,1,2,6,FALSE,22,310,600,HS,4,3,Divorced,Male,FALSE,Rental
5292,6,2,1,3,FALSE,37,175,660,MS,6,2,Separated,Female,TRUE,Owner
5293,3,2,5,6,FALSE,50,125,660,None,2,3,Single,Female,FALSE,Rental
5294,9,12,11,4,TRUE,NaN,310,850,HS,1,3,Widowed,Male,TRUE,Owner
5295,0,11,2,1,TRUE,40,310,670,MS,1,1,Married,Male,FALSE,Rental
5296,6,13,0,1,FALSE,44,250,800,BS,6,3,Married,Male,TRUE,Owner
5297,6,12,11,3,TRUE,63,310,620,PhD,0,2,Widowed,Male,FALSE,Rental
5298,10,13,11,3,FALSE,20,175,810,PhD,3,3,Widowed,Female,FALSE,Owner
5299,1,1,1,1,TRUE,50,75,800,None,6,3,Separated,Male,TRUE,Owner
5300,10,4,2,4,TRUE,57,310,670,PhD,3,0,Widowed,Male,TRUE,Owner
5301,6,13,0,6,TRUE,57,310,660,PhD,5,1,Divorced,Female,FALSE,Owner
5302,6,1,2,4,FALSE,20,125,500,BS,1,1,Married,Male,FALSE,Rental
5303,1,14,0,4,FALSE,22,125,800,MS,6,1,Divorced,Male,FALSE,Owner
5304,10,13,5,6,FALSE,50,310,760,MS,3,0,Married,Female,FALSE,Rental
5305,0,7,2,1,FALSE,66,49,850,HS,5,3,Single,Male,FALSE,Rental
5306,3,6,2,1,TRUE,37,75,600,PhD,5,2,Separated,Female,FALSE,Owner
5307,0,2,11,1,TRUE,67,250,760,MS,0,0,Married,Male,TRUE,Rental
5308,2,6,2,1,FALSE,63,49,660,MS,2,2,Widowed,Female,FALSE,Owner
5309,6,10,11,1,FALSE,60,125,810,BS,3,3,Separated,Male,TRUE,Owner
5310,2,4,11,3,FALSE,48,49,660,HS,6,1,Separated,Female,FALSE,Rental
5311,5,5,2,1,FALSE,24,75,730,MS,3,0,Single,Female,FALSE,Rental
5312,7,9,1,6,TRUE,70,310,760,HS,5,0,Widowed,Male,TRUE,Rental
5313,1,10,11,4,FALSE,35,250,300,BS,2,3,Married,Female,TRUE,Owner
5314,10,4,0,1,FALSE,70,125,660,None,4,1,Single,Male,FALSE,Rental
5315,4,2,11,3,TRUE,24,49,670,HS,6,2,Divorced,Male,FALSE,Owner
5316,10,6,0,3,TRUE,20,125,730,HS,6,0,Widowed,Male,FALSE,Owner
5317,6,10,1,4,TRUE,65,310,620,BS,0,3,Single,Male,FALSE,Rental
5318,8,11,2,6,TRUE,35,125,600,MS,5,0,Separated,Male,TRUE,Owner
5319,9,7,11,1,FALSE,70,250,NaN,PhD,0,0,Separated,Male,FALSE,Owner
5320,2,12,2,1,FALSE,66,49,300,PhD,0,2,Single,Female,FALSE,Rental
5321,7,15,5,1,TRUE,65,175,500,HS,3,2,Single,Male,FALSE,Rental
5322,8,2,11,4,TRUE,60,250,810,MS,4,3,Married,Male,TRUE,Rental
5323,1,3,5,6,FALSE,66,250,660,BS,1,2,Single,Female,TRUE,Rental
5324,4,11,5,4,TRUE,67,310,670,PhD,3,1,Married,Female,TRUE,Owner
5325,1,5,0,4,FALSE,44,75,NaN,BS,0,0,Married,Female,FALSE,Owner
5326,1,9,0,1,FALSE,22,250,600,HS,0,0,Separated,Female,TRUE,Owner
5327,9,7,11,1,FALSE,24,310,NaN,PhD,5,1,Widowed,Female,FALSE,Owner
5328,8,2,11,4,FALSE,20,125,300,None,5,3,Widowed,Female,TRUE,Rental
5329,4,8,2,6,FALSE,35,175,600,HS,0,2,Married,Female,TRUE,Owner
5330,9,9,11,1,FALSE,20,310,660,None,5,0,Single,Female,TRUE,Rental
5331,2,13,11,1,FALSE,63,49,620,BS,0,2,Separated,Male,TRUE,Owner
5332,6,3,0,3,TRUE,50,49,670,BS,2,3,Separated,Male,FALSE,Rental
5333,9,4,1,1,FALSE,44,49,730,MS,5,3,Divorced,Male,TRUE,Rental
5334,3,1,11,3,FALSE,67,310,730,PhD,5,3,Widowed,Male,TRUE,Rental
5335,7,3,2,6,FALSE,30,175,500,BS,5,3,Widowed,Male,TRUE,Rental
5336,2,9,11,3,FALSE,44,250,600,PhD,6,2,Single,Female,FALSE,Owner
5337,6,3,11,4,TRUE,65,125,730,BS,0,3,Widowed,Female,TRUE,Rental
5338,8,13,1,6,TRUE,48,49,800,BS,4,0,Separated,Female,TRUE,Owner
5339,4,5,0,4,FALSE,67,250,660,None,6,1,Married,Female,FALSE,Owner
5340,9,3,2,3,TRUE,48,250,600,BS,6,1,Married,Male,TRUE,Rental
5341,0,14,0,4,FALSE,24,125,300,BS,3,2,Widowed,Female,TRUE,Owner
5342,10,12,5,6,TRUE,24,75,760,MS,6,1,Separated,Male,FALSE,Rental
5343,7,13,1,4,TRUE,60,75,810,MS,0,1,Single,Female,FALSE,Owner
5344,10,9,2,3,FALSE,56,75,810,PhD,5,2,Widowed,Male,TRUE,Rental
5345,1,9,1,4,TRUE,50,75,620,HS,0,0,Married,Male,TRUE,Rental
5346,6,1,11,1,FALSE,NaN,250,300,MS,4,1,Separated,Male,TRUE,Rental
5347,4,1,11,3,TRUE,60,310,620,None,5,1,Married,Male,FALSE,Rental
5348,0,9,0,3,TRUE,77,175,810,None,4,3,Separated,Female,FALSE,Rental
5349,1,6,1,3,TRUE,57,125,620,MS,4,1,Single,Female,FALSE,Owner
5350,0,2,1,1,FALSE,37,125,850,PhD,2,2,Separated,Female,FALSE,Owner
5351,8,12,5,1,TRUE,40,75,660,BS,1,1,Married,Male,FALSE,Owner
5352,10,9,1,1,FALSE,70,125,500,None,4,0,Divorced,Female,FALSE,Rental
5353,0,4,11,3,FALSE,77,75,620,None,2,3,Divorced,Male,TRUE,Owner
5354,2,13,11,4,FALSE,56,75,500,BS,2,2,Single,Female,TRUE,Rental
5355,3,2,11,3,TRUE,35,49,670,None,1,3,Separated,Male,FALSE,Owner
5356,1,4,1,1,FALSE,20,175,760,MS,2,3,Married,Male,FALSE,Owner
5357,7,7,5,6,TRUE,40,175,620,None,4,3,Married,Female,FALSE,Rental
5358,5,7,2,4,TRUE,67,175,500,HS,5,2,Separated,Female,TRUE,Rental
5359,0,10,2,4,TRUE,NaN,75,760,BS,1,3,Single,Female,FALSE,Rental
5360,3,13,11,4,FALSE,22,49,300,MS,3,1,Divorced,Male,FALSE,Rental
5361,10,5,1,1,TRUE,63,49,810,MS,1,0,Married,Male,FALSE,Owner
5362,9,10,5,4,TRUE,67,175,NaN,PhD,5,0,Married,Male,TRUE,Owner
5363,7,7,5,4,FALSE,44,310,730,MS,4,2,Single,Male,TRUE,Owner
5364,10,3,1,1,TRUE,77,250,730,PhD,3,2,Separated,Male,TRUE,Rental
5365,3,3,11,3,FALSE,63,250,760,PhD,3,2,Widowed,Female,TRUE,Rental
5366,4,2,11,1,FALSE,70,75,660,PhD,6,2,Divorced,Male,TRUE,Owner
5367,9,10,11,6,TRUE,40,125,810,BS,3,0,Divorced,Female,FALSE,Rental
5368,2,12,1,6,TRUE,70,250,850,PhD,3,1,Single,Female,FALSE,Rental
5369,7,2,5,6,FALSE,37,175,300,None,1,2,Divorced,Female,TRUE,Rental
5370,5,8,0,6,FALSE,37,175,300,PhD,6,2,Divorced,Male,TRUE,Rental
5371,10,2,2,4,FALSE,77,175,620,MS,6,1,Single,Male,FALSE,Rental
5372,3,8,5,6,TRUE,50,250,600,None,1,1,Divorced,Male,TRUE,Owner
5373,8,6,11,4,FALSE,37,75,670,MS,4,0,Single,Male,FALSE,Owner
5374,9,7,2,3,FALSE,24,49,620,PhD,3,3,Married,Male,FALSE,Rental
5375,3,6,1,6,FALSE,77,310,850,None,3,1,Widowed,Male,TRUE,Rental
5376,3,15,1,4,TRUE,70,49,620,None,4,0,Married,Male,TRUE,Owner
5377,4,1,1,1,FALSE,30,310,850,BS,4,3,Married,Male,TRUE,Rental
5378,5,14,1,4,FALSE,60,310,670,HS,4,0,Single,Female,TRUE,Rental
5379,2,7,2,4,TRUE,65,175,660,BS,2,2,Married,Female,FALSE,Rental
5380,3,2,5,6,TRUE,37,75,730,PhD,6,3,Single,Male,TRUE,Owner
5381,6,9,2,3,TRUE,65,310,810,PhD,5,2,Single,Male,TRUE,Rental
5382,6,11,5,3,TRUE,NaN,49,800,MS,3,1,Single,Male,TRUE,Owner
5383,3,2,5,4,TRUE,37,75,760,PhD,6,1,Single,Female,TRUE,Rental
5384,0,12,2,1,FALSE,40,75,600,None,4,1,Married,Male,FALSE,Rental
5385,7,3,11,6,TRUE,67,75,760,HS,0,0,Divorced,Male,FALSE,Rental
5386,0,8,2,4,FALSE,60,75,810,BS,1,0,Separated,Female,TRUE,Rental
5387,10,4,11,6,TRUE,57,49,300,PhD,6,3,Divorced,Female,TRUE,Owner
5388,10,10,5,3,FALSE,57,49,730,None,3,1,Married,Male,TRUE,Rental
5389,9,11,1,1,FALSE,24,175,660,MS,3,0,Married,Female,TRUE,Rental
5390,10,11,5,6,TRUE,48,75,620,PhD,1,0,Divorced,Male,TRUE,Rental
5391,9,10,11,6,FALSE,65,125,800,HS,4,3,Single,Male,FALSE,Rental
5392,6,7,2,6,TRUE,56,250,620,BS,2,3,Single,Female,FALSE,Owner
5393,8,14,11,1,TRUE,48,125,760,BS,5,2,Separated,Male,TRUE,Owner
5394,1,3,5,3,TRUE,30,125,600,PhD,0,2,Separated,Male,TRUE,Owner
5395,8,4,11,6,TRUE,70,250,670,HS,1,1,Married,Male,TRUE,Owner
5396,4,4,11,4,TRUE,60,125,800,MS,6,2,Widowed,Male,TRUE,Owner
5397,4,15,1,3,TRUE,20,75,730,HS,5,1,Married,Female,TRUE,Rental
5398,9,7,11,6,TRUE,40,49,730,None,0,3,Separated,Female,FALSE,Rental
5399,5,13,0,4,TRUE,NaN,310,600,PhD,3,2,Widowed,Male,FALSE,Owner
5400,2,2,1,3,FALSE,67,250,760,PhD,1,1,Single,Female,FALSE,Rental
5401,4,3,2,6,FALSE,NaN,125,670,MS,1,2,Widowed,Male,FALSE,Owner
5402,10,9,5,4,FALSE,77,310,620,BS,3,1,Separated,Male,TRUE,Owner
5403,6,11,1,4,TRUE,60,175,850,None,6,3,Widowed,Male,TRUE,Rental
5404,6,11,5,3,TRUE,57,310,500,PhD,0,1,Divorced,Male,FALSE,Owner
5405,7,15,0,6,FALSE,56,175,730,None,3,1,Married,Male,FALSE,Owner
5406,8,3,5,6,FALSE,44,175,670,BS,6,1,Single,Male,TRUE,Rental
5407,0,15,11,6,TRUE,48,310,300,HS,2,1,Single,Male,TRUE,Rental
5408,6,13,2,6,FALSE,30,175,300,PhD,2,2,Separated,Male,FALSE,Rental
5409,5,14,5,1,FALSE,60,250,500,None,2,2,Divorced,Female,FALSE,Rental
5410,3,6,1,6,TRUE,60,250,850,MS,1,3,Widowed,Male,TRUE,Owner
5411,4,6,5,4,TRUE,60,49,500,HS,2,1,Divorced,Male,TRUE,Rental
5412,1,9,11,6,TRUE,63,49,850,BS,2,1,Married,Male,FALSE,Owner
5413,7,13,11,4,TRUE,40,75,660,BS,5,2,Single,Female,FALSE,Rental
5414,3,10,11,1,FALSE,77,310,500,None,3,0,Married,Female,TRUE,Rental
5415,5,15,5,3,FALSE,44,125,500,HS,3,1,Single,Female,FALSE,Owner
5416,9,15,11,3,FALSE,50,310,600,HS,2,0,Married,Male,FALSE,Rental
5417,3,6,0,1,FALSE,63,75,850,MS,2,0,Single,Female,TRUE,Rental
5418,9,15,5,6,FALSE,20,125,810,None,5,1,Single,Male,FALSE,Rental
5419,2,14,1,4,FALSE,20,310,660,None,5,0,Divorced,Male,FALSE,Owner
5420,2,13,0,6,TRUE,24,250,760,HS,2,1,Divorced,Female,FALSE,Owner
5421,0,6,1,6,FALSE,NaN,49,NaN,None,5,3,Single,Female,TRUE,Owner
5422,7,7,0,3,TRUE,50,49,620,HS,3,1,Single,Male,TRUE,Owner
5423,0,7,0,3,FALSE,35,75,670,None,5,0,Widowed,Male,TRUE,Rental
5424,5,14,1,4,FALSE,35,250,620,BS,2,3,Separated,Male,FALSE,Owner
5425,6,4,2,3,TRUE,63,310,620,HS,0,1,Widowed,Female,TRUE,Rental
5426,4,4,0,6,TRUE,67,250,760,BS,2,0,Divorced,Female,TRUE,Rental
5427,6,15,11,1,FALSE,66,175,730,MS,3,2,Widowed,Female,TRUE,Owner
5428,8,1,5,1,TRUE,35,175,810,None,5,2,Married,Female,FALSE,Owner
5429,2,14,11,4,TRUE,66,175,620,PhD,3,3,Divorced,Male,TRUE,Rental
5430,2,6,11,1,FALSE,56,310,760,MS,2,2,Single,Male,FALSE,Owner
5431,2,12,0,1,FALSE,60,250,500,BS,4,3,Widowed,Female,TRUE,Rental
5432,9,8,0,3,FALSE,37,75,760,MS,2,1,Married,Male,TRUE,Owner
5433,5,14,11,3,TRUE,44,250,620,MS,0,3,Married,Male,TRUE,Rental
5434,0,9,5,4,FALSE,40,175,600,None,5,2,Widowed,Male,TRUE,Owner
5435,8,3,11,6,TRUE,20,310,810,MS,1,0,Married,Male,TRUE,Owner
5436,5,7,0,6,TRUE,20,175,600,None,3,1,Single,Male,FALSE,Owner
5437,10,2,1,1,FALSE,22,75,850,BS,2,0,Single,Female,FALSE,Owner
5438,3,3,1,3,FALSE,63,125,500,PhD,3,2,Married,Female,TRUE,Owner
5439,3,14,5,1,TRUE,20,175,850,MS,5,3,Separated,Male,TRUE,Rental
5440,9,5,0,6,TRUE,37,175,500,BS,3,0,Married,Male,FALSE,Owner
5441,10,3,0,1,TRUE,37,49,500,None,4,3,Divorced,Female,FALSE,Rental
5442,8,12,1,3,FALSE,70,310,670,BS,4,2,Widowed,Male,TRUE,Owner
5443,5,12,1,4,FALSE,67,125,760,PhD,5,3,Married,Male,FALSE,Rental
5444,8,7,0,3,TRUE,57,75,600,HS,0,2,Separated,Male,TRUE,Owner
5445,1,15,0,1,TRUE,20,75,NaN,PhD,2,1,Married,Male,FALSE,Rental
5446,10,4,1,1,FALSE,50,175,600,PhD,4,2,Single,Male,TRUE,Rental
5447,5,9,2,4,TRUE,35,310,850,MS,2,1,Separated,Female,FALSE,Owner
5448,6,3,11,6,FALSE,77,49,660,MS,2,1,Separated,Female,TRUE,Rental
5449,0,15,1,4,FALSE,40,125,760,BS,0,2,Widowed,Female,FALSE,Rental
5450,6,8,11,4,FALSE,57,49,660,None,2,2,Married,Female,TRUE,Rental
5451,4,9,0,6,TRUE,66,125,660,MS,2,1,Separated,Male,TRUE,Owner
5452,6,14,2,1,FALSE,44,310,800,None,2,2,Divorced,Female,TRUE,Owner
5453,5,1,0,4,FALSE,67,75,500,MS,5,2,Widowed,Male,TRUE,Owner
5454,2,4,2,6,TRUE,65,125,670,BS,1,0,Divorced,Female,TRUE,Owner
5455,1,13,1,6,TRUE,40,250,850,MS,4,1,Widowed,Male,TRUE,Owner
5456,3,10,5,4,FALSE,77,175,760,None,6,2,Widowed,Male,FALSE,Rental
5457,8,4,5,1,TRUE,24,75,NaN,PhD,6,0,Widowed,Male,TRUE,Owner
5458,2,15,1,4,TRUE,77,310,600,MS,0,2,Single,Female,TRUE,Owner
5459,8,11,1,3,FALSE,67,49,810,PhD,0,0,Separated,Male,FALSE,Owner
